"","state.county","date","cases","deaths","per1k","days_since_case100","days_since_death10"
"1158","Minnesota-St. Louis",2020-04-06,16,0,0.0803737378811473,0,0
"1159","Minnesota-Stearns",2020-04-06,6,0,0.0372497283873972,0,0
"1160","Minnesota-Steele",2020-04-06,8,0,0.218286992823815,0,0
"1161","Minnesota-Traverse",2020-04-06,2,0,0.613685179502915,0,0
"1162","Minnesota-Wabasha",2020-04-06,6,0,0.277430989041476,0,0
"1163","Minnesota-Waseca",2020-04-06,3,0,0.161186331399097,0,0
"1164","Minnesota-Washington",2020-04-06,65,1,0.247675659198293,0,0
"1165","Minnesota-Watonwan",2020-04-06,4,0,0.367073506469671,0,0
"1166","Minnesota-Wilkin",2020-04-06,2,0,0.322216851941357,0,0
"1167","Minnesota-Winona",2020-04-06,14,2,0.277315585135885,0,0
"1168","Minnesota-Wright",2020-04-06,9,0,0.0650397103564899,0,0
"1169","Minnesota-Yellow Medicine",2020-04-06,1,0,0.102997219075085,0,0
"1170","Mississippi-Adams",2020-04-06,19,0,0.619033655882449,0,0
"1171","Mississippi-Alcorn",2020-04-06,6,0,0.16236841393121,0,0
"1172","Mississippi-Amite",2020-04-06,6,1,0.487923883874116,0,0
"1173","Mississippi-Attala",2020-04-06,15,0,0.825354902608121,0,0
"1174","Mississippi-Benton",2020-04-06,5,0,0.605400169512047,0,0
"1175","Mississippi-Bolivar",2020-04-06,51,2,1.66514300639937,0,0
"1176","Mississippi-Calhoun",2020-04-06,9,0,0.626697305201588,0,0
"1177","Mississippi-Carroll",2020-04-06,6,0,0.603196943802151,0,0
"1178","Mississippi-Chickasaw",2020-04-06,15,2,0.877039115944571,0,0
"1179","Mississippi-Choctaw",2020-04-06,8,1,0.97442143727162,0,0
"1180","Mississippi-Claiborne",2020-04-06,1,0,0.11125945705385,0,0
"1181","Mississippi-Clarke",2020-04-06,8,0,0.514767389485876,0,0
"1182","Mississippi-Clay",2020-04-06,9,0,0.465934976185546,0,0
"1183","Mississippi-Coahoma",2020-04-06,29,1,1.3107937081902,0,0
"1184","Mississippi-Copiah",2020-04-06,16,0,0.570105113130233,0,0
