"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"4445","Oman",2020-04-07,77,371,40,2,0,67,6,302,7.3,0.8,5.9,13,0
"4476","Pakistan",2020-04-07,77,4035,269,57,4,429,170,3549,1.8,0.1,1.6,23,12
"4516","Panama",2020-04-07,77,2100,112,55,1,14,1,2031,48.7,2.6,47.1,20,11
"4543","Papua New Guinea",2020-04-07,77,2,0,0,0,0,0,2,0,0,0,0,0
"4555","Paraguay",2020-04-07,77,115,2,5,0,15,3,95,1.6,0,1.3,3,0
"4589","Peru",2020-04-07,77,2954,393,107,15,1301,304,1546,9,1.2,4.7,22,12
"4626","Philippines",2020-04-07,77,3764,104,177,14,84,11,3503,3.4,0.1,3.2,25,24
"4684","Poland",2020-04-07,77,4848,435,129,22,191,29,4528,12.8,1.1,12,25,15
"4754","Portugal",2020-04-07,77,12442,712,345,34,184,44,11913,122,7,116.8,26,18
"4772","Qatar",2020-04-07,77,2057,225,6,2,150,19,1901,71.4,7.8,66,28,0
"4801","Republic of Korea",2020-04-07,77,10331,47,192,6,6694,96,3445,20.2,0.1,6.7,48,43
"4871","Republic of the Congo",2020-04-07,77,45,0,5,0,2,0,38,0.8,0,0.7,0,0
"4924","Romania",2020-04-07,77,4417,360,197,21,460,54,3760,23,1.9,19.5,25,15
"4993","Russia",2020-04-07,77,7497,1154,58,11,494,88,6945,5.1,0.8,4.8,22,8
"5023","Rwanda",2020-04-07,77,105,0,0,0,7,3,98,0.8,0,0.8,4,0
"5035","Saint Kitts and Nevis",2020-04-07,77,11,1,0,0,0,0,11,20.8,1.9,20.8,0,0
"5060","Saint Lucia",2020-04-07,77,14,0,0,0,1,0,13,7.6,0,7.1,0,0
"5084","Saint Vincent and the Grenadines",2020-04-07,77,8,1,0,0,1,0,7,7.2,0.9,6.3,0,0
"5112","San Marino",2020-04-07,77,279,13,34,2,40,5,205,820.6,38.2,602.9,24,21
"5136","Sao Tome and Principe",2020-04-07,77,4,0,0,0,0,0,4,1.8,0,1.8,0,0
"5162","Saudi Arabia",2020-04-07,77,2795,190,41,3,615,64,2139,8,0.5,6.1,25,8
"5196","Senegal",2020-04-07,77,237,11,2,0,105,13,130,1.4,0.1,0.8,13,0
"5217","Serbia",2020-04-07,77,2447,247,61,3,0,0,2386,28,2.8,27.3,20,11
"5262","Seychelles",2020-04-07,77,11,0,0,0,0,0,11,11.2,0,11.2,0,0
"5274","Sierra Leone",2020-04-07,77,6,0,0,0,0,0,6,0.1,0,0.1,0,0
"5327","Singapore",2020-04-07,77,1481,106,6,0,377,33,1098,25.3,1.8,18.8,39,0
"5383","Slovakia",2020-04-07,77,581,47,2,0,13,5,566,10.6,0.9,10.4,21,0
"5416","Slovenia",2020-04-07,77,1059,38,36,6,102,0,921,50.9,1.8,44.3,26,10
"5431","Somalia",2020-04-07,77,8,1,0,0,1,0,7,0.1,0,0,0,0
"5450","South Africa",2020-04-07,77,1749,63,13,1,95,0,1641,2.9,0.1,2.8,21,3
"5490","Spain",2020-04-07,77,141942,5267,14045,704,43208,2771,84689,303.6,11.3,181.1,37,32
"5593","Sri Lanka",2020-04-07,77,185,7,6,1,42,4,137,0.9,0,0.6,15,0
"5639","Sudan",2020-04-07,77,14,2,2,0,2,0,10,0,0,0,0,0
"5664","Suriname",2020-04-07,77,10,0,1,0,0,0,9,1.7,0,1.5,0,0
"5730","Sweden",2020-04-07,77,7693,487,591,114,205,0,6897,76.2,4.8,68.3,33,21
"5758","Switzerland",2020-04-07,77,22253,596,821,56,8704,648,12728,257.1,6.9,147.1,34,26
"5785","Syria",2020-04-07,77,19,0,2,0,3,1,14,0.1,0,0.1,0,0
"5862","Taiwan",2020-04-07,77,376,3,5,0,57,0,314,1.6,0,1.3,21,0
"5891","Tanzania, United Republic of",2020-04-07,77,24,0,1,0,5,2,18,0,0,0,0,0
"5935","Thailand",2020-04-07,77,2258,38,27,1,888,95,1343,3.2,0.1,1.9,24,8
"5979","The Bahamas",2020-04-07,77,33,4,6,1,5,1,22,8.4,1,5.6,0,0
"6012","The Gambia",2020-04-07,77,4,0,1,0,2,0,1,0.2,0,0,0,0
"6018","Timor-Leste",2020-04-07,77,1,0,0,0,0,0,1,0.1,0,0.1,0,0
"6059","Togo",2020-04-07,77,65,7,3,0,23,0,39,0.8,0.1,0.5,0,0
"6080","Trinidad and Tobago",2020-04-07,77,107,2,8,0,1,0,98,7.6,0.1,7,4,0
"6109","Tunisia",2020-04-07,77,623,27,23,1,25,20,575,5.3,0.2,4.9,15,8
"6141","Turkey",2020-04-07,77,34109,3892,725,76,1582,256,31802,40.4,4.6,37.7,20,17
"6167","Uganda",2020-04-07,77,52,0,0,0,0,0,52,0.1,0,0.1,0,0
"6230","UK",2020-04-07,77,55949,3670,6171,786,325,38,49453,82.4,5.4,72.8,34,25
"6248","Ukraine",2020-04-07,77,1462,143,45,7,28,0,1389,3.3,0.3,3.2,14,10
"6300","United Arab Emirates",2020-04-07,77,2359,283,12,1,186,19,2161,23.9,2.9,21.9,21,4
"6355","Uruguay",2020-04-07,77,424,18,7,1,150,46,267,12.2,0.5,7.7,18,0
"6377","USA",2020-04-07,77,396223,29556,12722,1939,21763,2182,361738,119.7,8.9,109.3,36,35
"6449","Uzbekistan",2020-04-07,77,520,63,2,0,30,0,488,1.6,0.2,1.5,11,0
"6492","Venezuela",2020-04-07,77,165,0,7,0,65,0,93,0.6,0,0.3,13,0
"6510","Vietnam",2020-04-07,77,249,4,0,0,123,28,126,0.3,0,0.1,17,0
"6607","West Bank and Gaza",2020-04-07,77,261,7,1,0,42,18,218,5.4,0.1,4.5,10,0
"6610","Western Sahara",2020-04-07,77,4,0,0,0,0,0,4,0.7,0,0.7,0,0
"6628","Zambia",2020-04-07,77,39,0,1,0,7,2,31,0.2,0,0.2,0,0
"6645","Zimbabwe",2020-04-07,77,11,1,2,1,0,0,9,0.1,0,0.1,0,0
